# z[km]   tau_abs
120.0000 0.0
115.0000 5.145743e-11
110.0000 7.239372e-10
105.0000 6.630640e-09
100.0000 3.516392e-08
95.0000 1.533916e-07
90.0000 4.582083e-07
85.0000 9.267512e-07
80.0000 1.418797e-06
75.0000 2.218799e-06
70.0000 4.843013e-06
65.0000 1.847318e-05
60.0000 6.384614e-05
55.0000 1.958962e-04
50.0000 6.161290e-04
47.5000 6.975527e-04
45.0000 1.246823e-03
42.5000 2.125119e-03
40.0000 3.536152e-03
37.5000 5.718855e-03
35.0000 8.513406e-03
32.5000 1.170538e-02
30.0000 1.568330e-02
27.5000 2.071201e-02
25.0000 2.690712e-02
24.0000 1.257141e-02
23.0000 1.326898e-02
22.0000 1.379744e-02
21.0000 1.380124e-02
20.0000 1.359574e-02
19.0000 1.307382e-02
18.0000 1.199789e-02
17.0000 1.075400e-02
16.0000 9.321578e-03
15.0000 8.055937e-03
14.0000 7.145994e-03
13.0000 6.429244e-03
12.0000 5.885837e-03
11.0000 5.192274e-03
10.0000 3.959369e-03
9.0000 2.913163e-03
8.0000 2.248463e-03
7.0000 1.855548e-03
6.0000 1.745127e-03
5.0000 1.704081e-03
4.0000 1.743087e-03
3.0000 1.837684e-03
2.0000 2.015861e-03
1.0000 2.123883e-03
0.0000 2.153145e-03
 
# integrated absorption optical thickness 0.266941
 
