# z[km] tau_absorption 
120.000  0.0 
115.0000 2.132270e-11
110.0000 4.869103e-11
105.0000 1.448401e-10
100.0000 4.716234e-10
95.0000 1.587816e-09
90.0000 4.463349e-09
85.0000 9.846352e-09
80.0000 1.871843e-08
75.0000 3.687524e-08
70.0000 8.203706e-08
65.0000 2.253302e-07
60.0000 6.212726e-07
55.0000 1.660086e-06
50.0000 4.694360e-06
47.5000 5.241244e-06
45.0000 1.007099e-05
42.5000 2.001588e-05
40.0000 4.147556e-05
37.5000 8.449821e-05
35.0000 1.468130e-04
32.5000 2.167921e-04
30.0000 2.933126e-04
27.5000 3.683268e-04
25.0000 4.425304e-04
24.0000 1.932950e-04
23.0000 1.943114e-04
22.0000 1.959229e-04
21.0000 1.927156e-04
20.0000 1.853892e-04
19.0000 1.732195e-04
18.0000 1.550068e-04
17.0000 1.332017e-04
16.0000 1.085457e-04
15.0000 8.500941e-05
14.0000 6.550508e-05
13.0000 5.304475e-05
12.0000 4.773632e-05
11.0000 4.385112e-05
10.0000 3.782436e-05
9.0000 3.364257e-05
8.0000 3.262415e-05
7.0000 3.395972e-05
6.0000 3.770923e-05
5.0000 4.268965e-05
4.0000 4.909811e-05
3.0000 5.693107e-05
2.0000 6.654652e-05
1.0000 7.727934e-05
0.0000 8.929026e-05
 
# integrated tau_abs 0.004021
 
