# Mie Scattering                # Version 2-3-5 (04:24:01 12/17/16)
# Oregon Medical Laser Center   # http://omlc.org
# by Scott Prahl                # scott.prahl@oit.edu
#
# radius     	  0.05000	 [microns]     (sphere radius)
# n_medium   	  1.00000	 [---]         (refractive index of medium)
# n_real     	  1.68350	 [---]         (refractive index of sphere)
# n_imag     	 -0.30050	 [---]         (absorption of sphere)
# lambda_vac 	  0.76500	 [microns]     (wavelength in vacuum)
# density    	  0.10000	 [#/micron^3]  (spheres per cubic micron)
#
# lambda     	  0.76500	 [microns]     (wavelength in medium)
# X          	  0.41067	 [---]         (size parameter)
# g          	 0.035739	 [---]         (average cosine of phase function)
# Qsca       	 0.013399	 [---]         (scattering efficiency)
# Qext       	  0.25025	 [---]         (extinction efficiency)
# Qback      	 0.018447	 [---]         (backscattering efficiency)
# Csca       	0.00010524	 [micron^2]    (scattering cross section)
# Cext       	0.0019655	 [micron^2]    (extinction cross section)
# Cback      	0.00014488	 [micron^2]    (backscattering cross section)
# mu_s       	 0.010524	 [1/mm]        (scattering coefficient)
# mu_s'      	 0.010147	 [1/mm]        (reduced scattering coefficient)
# mu_t       	  0.19655	 [1/mm]        (total attenuation coefficient)
#
#   The second column is normalized so that the integral of it over 
#   4*pi steradians will be unity.  The average of the 3rd & 4th
#   columns is the second.  The next three columns are normalized
#   to the value at 0 degrees. 
#
#       natural      = (|S1|^2+|S2|^2)/(pi X^2 Qsca)
#       perpen       = |S1|^2/(pi X^2 Qsca)
#       parallel     = |S2|^2/(pi X^2 Qsca)
#       polarization = (|S1|^2-|S2|^2)/(|S1|^2+|S2|^2)
#       S33          =  Real(S2 * S1^*)
#       S34          = -Imag(S2 * S1^*)
#
##theta	 natural 	 perpen 	 parallel	 natural 	 perpen 	 parallel	 polarization 	   S33   	   S34
-176.400	 0.10936	 0.10958	 0.10913	 0.84422	 0.84592	 0.84251	 0.00202	-1.00000	 0.00002
-172.800	 0.10875	 0.10963	 0.10787	 0.83955	 0.84635	 0.83275	 0.00810	-0.99997	 0.00010
-169.200	 0.10775	 0.10972	 0.10578	 0.83185	 0.84706	 0.81664	 0.01829	-0.99983	 0.00022
-165.600	 0.10638	 0.10985	 0.10290	 0.82123	 0.84805	 0.79441	 0.03265	-0.99947	 0.00040
-162.000	 0.10465	 0.11001	 0.09928	 0.80786	 0.84931	 0.76641	 0.05131	-0.99868	 0.00063
-158.400	 0.10258	 0.11021	 0.09496	 0.79195	 0.85085	 0.73305	 0.07437	-0.99723	 0.00091
-154.800	 0.10023	 0.11045	 0.09000	 0.77374	 0.85265	 0.69483	 0.10199	-0.99478	 0.00125
-151.200	 0.09761	 0.11072	 0.08450	 0.75352	 0.85472	 0.65232	 0.13430	-0.99094	 0.00164
-147.600	 0.09477	 0.11102	 0.07852	 0.73160	 0.85704	 0.60616	 0.17146	-0.98519	 0.00210
-144.000	 0.09175	 0.11135	 0.07216	 0.70834	 0.85961	 0.55707	 0.21356	-0.97693	 0.00261
-140.400	 0.08861	 0.11171	 0.06552	 0.68410	 0.86243	 0.50578	 0.26067	-0.96542	 0.00318
-136.800	 0.08540	 0.11211	 0.05869	 0.65928	 0.86547	 0.45309	 0.31275	-0.94983	 0.00382
-133.200	 0.08216	 0.11253	 0.05179	 0.63427	 0.86873	 0.39982	 0.36964	-0.92916	 0.00451
-129.600	 0.07895	 0.11298	 0.04492	 0.60950	 0.87220	 0.34681	 0.43100	-0.90234	 0.00525
-126.000	 0.07583	 0.11345	 0.03820	 0.58538	 0.87587	 0.29489	 0.49624	-0.86816	 0.00605
