# Mie Scattering                # Version 2-3-5 (04:24:01 12/17/16)
# Oregon Medical Laser Center   # http://omlc.org
# by Scott Prahl                # scott.prahl@oit.edu
#
# radius     	  0.05000	 [microns]     (sphere radius)
# n_medium   	  1.00000	 [---]         (refractive index of medium)
# n_real     	  1.92100	 [---]         (refractive index of sphere)
# n_imag     	 -0.34800	 [---]         (absorption of sphere)
# lambda_vac 	  2.06000	 [microns]     (wavelength in vacuum)
# density    	  0.10000	 [#/micron^3]  (spheres per cubic micron)
#
# lambda     	  2.06000	 [microns]     (wavelength in medium)
# X          	  0.15250	 [---]         (size parameter)
# g          	0.0055733	 [---]         (average cosine of phase function)
# Qsca       	0.00037193	 [---]         (scattering efficiency)
# Qext       	 0.076717	 [---]         (extinction efficiency)
# Qback      	0.00055075	 [---]         (backscattering efficiency)
# Csca       	2.9211e-06	 [micron^2]    (scattering cross section)
# Cext       	0.00060254	 [micron^2]    (extinction cross section)
# Cback      	4.3256e-06	 [micron^2]    (backscattering cross section)
# mu_s       	0.00029211	 [1/mm]        (scattering coefficient)
# mu_s'      	0.00029048	 [1/mm]        (reduced scattering coefficient)
# mu_t       	 0.060254	 [1/mm]        (total attenuation coefficient)
#
#   The second column is normalized so that the integral of it over 
#   4*pi steradians will be unity.  The average of the 3rd & 4th
#   columns is the second.  The next three columns are normalized
#   to the value at 0 degrees. 
#
#       natural      = (|S1|^2+|S2|^2)/(pi X^2 Qsca)
#       perpen       = |S1|^2/(pi X^2 Qsca)
#       parallel     = |S2|^2/(pi X^2 Qsca)
#       polarization = (|S1|^2-|S2|^2)/(|S1|^2+|S2|^2)
#       S33          =  Real(S2 * S1^*)
#       S34          = -Imag(S2 * S1^*)
#
##theta	 natural 	 perpen 	 parallel	 natural 	 perpen 	 parallel	 polarization 	   S33   	   S34
-176.400	 0.11761	 0.11784	 0.11738	 0.97276	 0.97469	 0.97083	 0.00198	-1.00000	 0.00000
-172.800	 0.11692	 0.11785	 0.11599	 0.96707	 0.97476	 0.95938	 0.00795	-0.99997	 0.00002
-169.200	 0.11579	 0.11787	 0.11371	 0.95770	 0.97489	 0.94051	 0.01795	-0.99984	 0.00004
-165.600	 0.11423	 0.11789	 0.11056	 0.94478	 0.97506	 0.91450	 0.03205	-0.99949	 0.00007
-162.000	 0.11226	 0.11791	 0.10661	 0.92852	 0.97528	 0.88176	 0.05036	-0.99873	 0.00011
-158.400	 0.10992	 0.11795	 0.10190	 0.90917	 0.97555	 0.84280	 0.07300	-0.99733	 0.00016
-154.800	 0.10725	 0.11798	 0.09651	 0.88705	 0.97586	 0.79824	 0.10012	-0.99498	 0.00022
-151.200	 0.10428	 0.11803	 0.09053	 0.86249	 0.97622	 0.74877	 0.13185	-0.99127	 0.00029
-147.600	 0.10106	 0.11807	 0.08405	 0.83590	 0.97662	 0.69517	 0.16835	-0.98573	 0.00037
-144.000	 0.09765	 0.11813	 0.07717	 0.80767	 0.97706	 0.63829	 0.20972	-0.97776	 0.00046
-140.400	 0.09409	 0.11819	 0.07000	 0.77828	 0.97755	 0.57901	 0.25604	-0.96667	 0.00056
-136.800	 0.09045	 0.11825	 0.06266	 0.74817	 0.97807	 0.51826	 0.30729	-0.95162	 0.00067
-133.200	 0.08679	 0.11832	 0.05525	 0.71782	 0.97863	 0.45702	 0.36333	-0.93166	 0.00079
-129.600	 0.08315	 0.11839	 0.04790	 0.68772	 0.97922	 0.39623	 0.42385	-0.90573	 0.00092
-126.000	 0.07960	 0.11846	 0.04073	 0.65835	 0.97984	 0.33686	 0.48832	-0.87266	 0.00106
