# Mie Scattering                # Version 2-3-5 (04:24:01 12/17/16)
# Oregon Medical Laser Center   # http://omlc.org
# by Scott Prahl                # scott.prahl@oit.edu
#
# radius     	  0.05000	 [microns]     (sphere radius)
# n_medium   	  1.00000	 [---]         (refractive index of medium)
# n_real     	  1.86250	 [---]         (refractive index of sphere)
# n_imag     	 -0.34050	 [---]         (absorption of sphere)
# lambda_vac 	  1.61000	 [microns]     (wavelength in vacuum)
# density    	  0.10000	 [#/micron^3]  (spheres per cubic micron)
#
# lambda     	  1.61000	 [microns]     (wavelength in medium)
# X          	  0.19513	 [---]         (size parameter)
# g          	0.0088469	 [---]         (average cosine of phase function)
# Qsca       	0.00092371	 [---]         (scattering efficiency)
# Qext       	  0.10258	 [---]         (extinction efficiency)
# Qback      	0.0013574	 [---]         (backscattering efficiency)
# Csca       	7.2548e-06	 [micron^2]    (scattering cross section)
# Cext       	0.00080566	 [micron^2]    (extinction cross section)
# Cback      	1.0661e-05	 [micron^2]    (backscattering cross section)
# mu_s       	0.00072548	 [1/mm]        (scattering coefficient)
# mu_s'      	0.00071907	 [1/mm]        (reduced scattering coefficient)
# mu_t       	 0.080566	 [1/mm]        (total attenuation coefficient)
#
#   The second column is normalized so that the integral of it over 
#   4*pi steradians will be unity.  The average of the 3rd & 4th
#   columns is the second.  The next three columns are normalized
#   to the value at 0 degrees. 
#
#       natural      = (|S1|^2+|S2|^2)/(pi X^2 Qsca)
#       perpen       = |S1|^2/(pi X^2 Qsca)
#       parallel     = |S2|^2/(pi X^2 Qsca)
#       polarization = (|S1|^2-|S2|^2)/(|S1|^2+|S2|^2)
#       S33          =  Real(S2 * S1^*)
#       S34          = -Imag(S2 * S1^*)
#
##theta	 natural 	 perpen 	 parallel	 natural 	 perpen 	 parallel	 polarization 	   S33   	   S34
-176.400	 0.11671	 0.11694	 0.11648	 0.95805	 0.95996	 0.95615	 0.00199	-1.00000	 0.00001
-172.800	 0.11603	 0.11695	 0.11510	 0.95248	 0.96007	 0.94489	 0.00797	-0.99997	 0.00003
-169.200	 0.11491	 0.11698	 0.11284	 0.94330	 0.96027	 0.92633	 0.01799	-0.99984	 0.00006
-165.600	 0.11337	 0.11701	 0.10973	 0.93064	 0.96054	 0.90075	 0.03212	-0.99948	 0.00011
-162.000	 0.11143	 0.11705	 0.10580	 0.91471	 0.96088	 0.86854	 0.05047	-0.99873	 0.00017
-158.400	 0.10912	 0.11710	 0.10114	 0.89576	 0.96130	 0.83022	 0.07317	-0.99732	 0.00025
-154.800	 0.10648	 0.11716	 0.09579	 0.87409	 0.96179	 0.78638	 0.10034	-0.99495	 0.00034
-151.200	 0.10355	 0.11723	 0.08986	 0.85003	 0.96236	 0.73770	 0.13215	-0.99123	 0.00045
-147.600	 0.10037	 0.11731	 0.08344	 0.82397	 0.96299	 0.68494	 0.16872	-0.98566	 0.00057
-144.000	 0.09701	 0.11739	 0.07662	 0.79631	 0.96369	 0.62894	 0.21018	-0.97766	 0.00071
-140.400	 0.09350	 0.11749	 0.06951	 0.76751	 0.96445	 0.57057	 0.25660	-0.96652	 0.00087
-136.800	 0.08990	 0.11759	 0.06222	 0.73801	 0.96527	 0.51074	 0.30795	-0.95140	 0.00105
-133.200	 0.08628	 0.11769	 0.05487	 0.70827	 0.96615	 0.45040	 0.36409	-0.93136	 0.00124
-129.600	 0.08269	 0.11781	 0.04757	 0.67879	 0.96709	 0.39050	 0.42472	-0.90532	 0.00144
-126.000	 0.07918	 0.11793	 0.04044	 0.65002	 0.96807	 0.33198	 0.48928	-0.87212	 0.00166
