# Mie Scattering                # Version 2-3-5 (04:24:01 12/17/16)
# Oregon Medical Laser Center   # http://omlc.org
# by Scott Prahl                # scott.prahl@oit.edu
#
# radius     	  0.12500	 [microns]     (sphere radius)
# n_medium   	  1.00000	 [---]         (refractive index of medium)
# n_real     	  1.61000	 [---]         (refractive index of sphere)
# n_imag     	  0.00000	 [---]         (absorption of sphere)
# lambda_vac 	  0.76500	 [microns]     (wavelength in vacuum)
# density    	  1.00000	 [#/micron^3]  (spheres per cubic micron)
#
# lambda     	  0.76500	 [microns]     (wavelength in medium)
# X          	  1.02666	 [---]         (size parameter)
# g          	  0.22354	 [---]         (average cosine of phase function)
# Qsca       	  0.34785	 [---]         (scattering efficiency)
# Qext       	  0.34785	 [---]         (extinction efficiency)
# Qback      	  0.27958	 [---]         (backscattering efficiency)
# Csca       	 0.017075	 [micron^2]    (scattering cross section)
# Cext       	 0.017075	 [micron^2]    (extinction cross section)
# Cback      	 0.013724	 [micron^2]    (backscattering cross section)
# mu_s       	   17.075	 [1/mm]        (scattering coefficient)
# mu_s'      	   13.258	 [1/mm]        (reduced scattering coefficient)
# mu_t       	   17.075	 [1/mm]        (total attenuation coefficient)
#
#   The second column is normalized so that the integral of it over 
#   4*pi steradians will be unity.  The average of the 3rd & 4th
#   columns is the second.  The next three columns are normalized
#   to the value at 0 degrees. 
#
#       natural      = (|S1|^2+|S2|^2)/(pi X^2 Qsca)
#       perpen       = |S1|^2/(pi X^2 Qsca)
#       parallel     = |S2|^2/(pi X^2 Qsca)
#       polarization = (|S1|^2-|S2|^2)/(|S1|^2+|S2|^2)
#       S33          =  Real(S2 * S1^*)
#       S34          = -Imag(S2 * S1^*)
#
##theta	 natural 	 perpen 	 parallel	 natural 	 perpen 	 parallel	 polarization 	   S33   	   S34
-176.400	 0.06388	 0.06404	 0.06373	 0.33857	 0.33938	 0.33777	 0.00238	-1.00000	-0.00010
-172.800	 0.06366	 0.06426	 0.06305	 0.33738	 0.34059	 0.33416	 0.00952	-0.99995	-0.00038
-169.200	 0.06329	 0.06465	 0.06193	 0.33540	 0.34261	 0.32819	 0.02149	-0.99977	-0.00087
-165.600	 0.06277	 0.06518	 0.06036	 0.33268	 0.34545	 0.31992	 0.03837	-0.99926	-0.00154
-162.000	 0.06213	 0.06587	 0.05838	 0.32926	 0.34910	 0.30942	 0.06026	-0.99818	-0.00240
-158.400	 0.06136	 0.06672	 0.05600	 0.32519	 0.35358	 0.29681	 0.08729	-0.99618	-0.00346
-154.800	 0.06048	 0.06772	 0.05325	 0.32055	 0.35889	 0.28221	 0.11961	-0.99281	-0.00470
-151.200	 0.05952	 0.06888	 0.05015	 0.31542	 0.36504	 0.26580	 0.15731	-0.98753	-0.00612
-147.600	 0.05847	 0.07020	 0.04675	 0.30989	 0.37203	 0.24776	 0.20051	-0.97966	-0.00772
-144.000	 0.05738	 0.07168	 0.04308	 0.30409	 0.37988	 0.22831	 0.24922	-0.96840	-0.00948
-140.400	 0.05625	 0.07332	 0.03919	 0.29814	 0.38858	 0.20770	 0.30335	-0.95281	-0.01140
-136.800	 0.05513	 0.07513	 0.03514	 0.29218	 0.39815	 0.18622	 0.36267	-0.93182	-0.01344
-133.200	 0.05404	 0.07710	 0.03098	 0.28638	 0.40859	 0.16417	 0.42674	-0.90424	-0.01559
-129.600	 0.05300	 0.07923	 0.02678	 0.28090	 0.41990	 0.14191	 0.49482	-0.86881	-0.01780
-126.000	 0.05207	 0.08153	 0.02260	 0.27594	 0.43209	 0.11980	 0.56585	-0.82427	-0.02002
-122.400	 0.05127	 0.08399	 0.01854	 0.27170	 0.44514	 0.09826	 0.63837	-0.76941	-0.02221
-118.800	 0.05064	 0.08662	 0.01466	 0.26838	 0.45906	 0.07770	 0.71049	-0.70329	-0.02429
-115.200	 0.05023	 0.08941	 0.01105	 0.26621	 0.47384	 0.05858	 0.77995	-0.62529	-0.02618
-111.600	 0.05008	 0.09235	 0.00780	 0.26541	 0.48945	 0.04136	 0.84415	-0.53539	-0.02781
-108.000	 0.05023	 0.09545	 0.00501	 0.26620	 0.50588	 0.02653	 0.90034	-0.43420	-0.02909
-104.400	 0.05072	 0.09870	 0.00275	 0.26883	 0.52310	 0.01455	 0.94587	-0.32317	-0.02997
-100.800	 0.05160	 0.10209	 0.00111	 0.27350	 0.54108	 0.00591	 0.97840	-0.20448	-0.03039
-97.200	 0.05291	 0.10562	 0.00020	 0.28042	 0.55978	 0.00105	 0.99625	-0.08099	-0.03033
-93.600	 0.05468	 0.10928	 0.00008	 0.28978	 0.57915	 0.00041	 0.99859	 0.04404	-0.02980
-90.000	 0.05694	 0.11305	 0.00083	 0.30176	 0.59914	 0.00438	 0.98550	 0.16721	-0.02882
-86.400	 0.05972	 0.11692	 0.00251	 0.31648	 0.61967	 0.01329	 0.95802	 0.28539	-0.02746
-82.800	 0.06303	 0.12089	 0.00517	 0.33405	 0.64068	 0.02742	 0.91792	 0.39592	-0.02578
-79.200	 0.06689	 0.12493	 0.00886	 0.35453	 0.66209	 0.04697	 0.86753	 0.49682	-0.02389
-75.600	 0.07131	 0.12902	 0.01359	 0.37792	 0.68381	 0.07204	 0.80937	 0.58689	-0.02185
-72.000	 0.07627	 0.13316	 0.01937	 0.40419	 0.70573	 0.10266	 0.74602	 0.66563	-0.01976
-68.400	 0.08175	 0.13732	 0.02617	 0.43323	 0.72776	 0.13871	 0.67982	 0.73316	-0.01767
-64.800	 0.08772	 0.14147	 0.03396	 0.46488	 0.74978	 0.17999	 0.61282	 0.79007	-0.01564
-61.200	 0.09414	 0.14560	 0.04267	 0.49892	 0.77166	 0.22617	 0.54668	 0.83723	-0.01371
-57.600	 0.10095	 0.14968	 0.05222	 0.53504	 0.79330	 0.27678	 0.48269	 0.87571	-0.01190
-54.000	 0.10810	 0.15369	 0.06250	 0.57289	 0.81454	 0.33125	 0.42180	 0.90663	-0.01023
-50.400	 0.11549	 0.15760	 0.07338	 0.61207	 0.83527	 0.38888	 0.36465	 0.93110	-0.00870
-46.800	 0.12304	 0.16139	 0.08470	 0.65211	 0.85533	 0.44888	 0.31165	 0.95017	-0.00733
-43.200	 0.13066	 0.16503	 0.09630	 0.69248	 0.87461	 0.51035	 0.26301	 0.96477	-0.00610
-39.600	 0.13824	 0.16849	 0.10799	 0.73264	 0.89295	 0.57233	 0.21882	 0.97575	-0.00501
-36.000	 0.14567	 0.17175	 0.11958	 0.77200	 0.91023	 0.63377	 0.17906	 0.98383	-0.00405
-32.400	 0.15283	 0.17478	 0.13088	 0.80996	 0.92631	 0.69361	 0.14365	 0.98962	-0.00321
-28.800	 0.15962	 0.17757	 0.14166	 0.84593	 0.94108	 0.75079	 0.11247	 0.99365	-0.00249
-25.200	 0.16591	 0.18008	 0.15175	 0.87932	 0.95441	 0.80423	 0.08539	 0.99635	-0.00187
-21.600	 0.17162	 0.18231	 0.16093	 0.90955	 0.96619	 0.85292	 0.06227	 0.99806	-0.00136
-18.000	 0.17663	 0.18422	 0.16904	 0.93612	 0.97634	 0.89590	 0.04296	 0.99908	-0.00093
-14.400	 0.18086	 0.18581	 0.17592	 0.95855	 0.98476	 0.93233	 0.02735	 0.99963	-0.00059
-10.800	 0.18424	 0.18706	 0.18142	 0.97643	 0.99138	 0.96147	 0.01532	 0.99988	-0.00033
-7.200	 0.18669	 0.18796	 0.18543	 0.98944	 0.99616	 0.98273	 0.00679	 0.99998	-0.00014
-3.600	 0.18819	 0.18850	 0.18787	 0.99735	 0.99904	 0.99566	 0.00169	 1.00000	-0.00004
 0.000	 0.18869	 0.18869	 0.18869	 1.00000	 1.00000	 1.00000	 0.00000	 1.00000	-0.00000
 3.600	 0.18819	 0.18850	 0.18787	 0.99735	 0.99904	 0.99566	 0.00169	 1.00000	-0.00004
 7.200	 0.18669	 0.18796	 0.18543	 0.98944	 0.99616	 0.98273	 0.00679	 0.99998	-0.00014
10.800	 0.18424	 0.18706	 0.18142	 0.97643	 0.99138	 0.96147	 0.01532	 0.99988	-0.00033
14.400	 0.18086	 0.18581	 0.17592	 0.95855	 0.98476	 0.93233	 0.02735	 0.99963	-0.00059
18.000	 0.17663	 0.18422	 0.16904	 0.93612	 0.97634	 0.89590	 0.04296	 0.99908	-0.00093
21.600	 0.17162	 0.18231	 0.16093	 0.90955	 0.96619	 0.85292	 0.06227	 0.99806	-0.00136
25.200	 0.16591	 0.18008	 0.15175	 0.87932	 0.95441	 0.80423	 0.08539	 0.99635	-0.00187
28.800	 0.15962	 0.17757	 0.14166	 0.84593	 0.94108	 0.75079	 0.11247	 0.99365	-0.00249
32.400	 0.15283	 0.17478	 0.13088	 0.80996	 0.92631	 0.69361	 0.14365	 0.98962	-0.00321
36.000	 0.14567	 0.17175	 0.11958	 0.77200	 0.91023	 0.63377	 0.17906	 0.98383	-0.00405
39.600	 0.13824	 0.16849	 0.10799	 0.73264	 0.89295	 0.57233	 0.21882	 0.97575	-0.00501
43.200	 0.13066	 0.16503	 0.09630	 0.69248	 0.87461	 0.51035	 0.26301	 0.96477	-0.00610
46.800	 0.12304	 0.16139	 0.08470	 0.65211	 0.85533	 0.44888	 0.31165	 0.95017	-0.00733
50.400	 0.11549	 0.15760	 0.07338	 0.61207	 0.83527	 0.38888	 0.36465	 0.93110	-0.00870
54.000	 0.10810	 0.15369	 0.06250	 0.57289	 0.81454	 0.33125	 0.42180	 0.90663	-0.01023
57.600	 0.10095	 0.14968	 0.05222	 0.53504	 0.79330	 0.27678	 0.48269	 0.87571	-0.01190
61.200	 0.09414	 0.14560	 0.04267	 0.49892	 0.77166	 0.22617	 0.54668	 0.83723	-0.01371
64.800	 0.08772	 0.14147	 0.03396	 0.46488	 0.74978	 0.17999	 0.61282	 0.79007	-0.01564
68.400	 0.08175	 0.13732	 0.02617	 0.43323	 0.72776	 0.13871	 0.67982	 0.73316	-0.01767
72.000	 0.07627	 0.13316	 0.01937	 0.40419	 0.70573	 0.10266	 0.74602	 0.66563	-0.01976
75.600	 0.07131	 0.12902	 0.01359	 0.37792	 0.68381	 0.07204	 0.80937	 0.58689	-0.02185
79.200	 0.06689	 0.12493	 0.00886	 0.35453	 0.66209	 0.04697	 0.86753	 0.49682	-0.02389
82.800	 0.06303	 0.12089	 0.00517	 0.33405	 0.64068	 0.02742	 0.91792	 0.39592	-0.02578
86.400	 0.05972	 0.11692	 0.00251	 0.31648	 0.61967	 0.01329	 0.95802	 0.28539	-0.02746
90.000	 0.05694	 0.11305	 0.00083	 0.30176	 0.59914	 0.00438	 0.98550	 0.16721	-0.02882
93.600	 0.05468	 0.10928	 0.00008	 0.28978	 0.57915	 0.00041	 0.99859	 0.04404	-0.02980
97.200	 0.05291	 0.10562	 0.00020	 0.28042	 0.55978	 0.00105	 0.99625	-0.08099	-0.03033
100.800	 0.05160	 0.10209	 0.00111	 0.27350	 0.54108	 0.00591	 0.97840	-0.20448	-0.03039
104.400	 0.05072	 0.09870	 0.00275	 0.26883	 0.52310	 0.01455	 0.94587	-0.32317	-0.02997
108.000	 0.05023	 0.09545	 0.00501	 0.26620	 0.50588	 0.02653	 0.90034	-0.43420	-0.02909
111.600	 0.05008	 0.09235	 0.00780	 0.26541	 0.48945	 0.04136	 0.84415	-0.53539	-0.02781
115.200	 0.05023	 0.08941	 0.01105	 0.26621	 0.47384	 0.05858	 0.77995	-0.62529	-0.02618
118.800	 0.05064	 0.08662	 0.01466	 0.26838	 0.45906	 0.07770	 0.71049	-0.70329	-0.02429
122.400	 0.05127	 0.08399	 0.01854	 0.27170	 0.44514	 0.09826	 0.63837	-0.76941	-0.02221
126.000	 0.05207	 0.08153	 0.02260	 0.27594	 0.43209	 0.11980	 0.56585	-0.82427	-0.02002
129.600	 0.05300	 0.07923	 0.02678	 0.28090	 0.41990	 0.14191	 0.49482	-0.86881	-0.01780
133.200	 0.05404	 0.07710	 0.03098	 0.28638	 0.40859	 0.16417	 0.42674	-0.90424	-0.01559
136.800	 0.05513	 0.07513	 0.03514	 0.29218	 0.39815	 0.18622	 0.36267	-0.93182	-0.01344
140.400	 0.05625	 0.07332	 0.03919	 0.29814	 0.38858	 0.20770	 0.30335	-0.95281	-0.01140
144.000	 0.05738	 0.07168	 0.04308	 0.30409	 0.37988	 0.22831	 0.24922	-0.96840	-0.00948
147.600	 0.05847	 0.07020	 0.04675	 0.30989	 0.37203	 0.24776	 0.20051	-0.97966	-0.00772
151.200	 0.05952	 0.06888	 0.05015	 0.31542	 0.36504	 0.26580	 0.15731	-0.98753	-0.00612
154.800	 0.06048	 0.06772	 0.05325	 0.32055	 0.35889	 0.28221	 0.11961	-0.99281	-0.00470
158.400	 0.06136	 0.06672	 0.05600	 0.32519	 0.35358	 0.29681	 0.08729	-0.99618	-0.00346
162.000	 0.06213	 0.06587	 0.05838	 0.32926	 0.34910	 0.30942	 0.06026	-0.99818	-0.00240
165.600	 0.06277	 0.06518	 0.06036	 0.33268	 0.34545	 0.31992	 0.03837	-0.99926	-0.00154
169.200	 0.06329	 0.06465	 0.06193	 0.33540	 0.34261	 0.32819	 0.02149	-0.99977	-0.00087
172.800	 0.06366	 0.06426	 0.06305	 0.33738	 0.34059	 0.33416	 0.00952	-0.99995	-0.00038
176.400	 0.06388	 0.06404	 0.06373	 0.33857	 0.33938	 0.33777	 0.00238	-1.00000	-0.00010
180.000	 0.06396	 0.06396	 0.06396	 0.33897	 0.33897	 0.33897	 0.00000	-1.00000	-0.00000
