# Mie Scattering                # Version 2-3-5 (04:24:01 12/17/16)
# Oregon Medical Laser Center   # http://omlc.org
# by Scott Prahl                # scott.prahl@oit.edu
#
# radius     	  0.12500	 [microns]     (sphere radius)
# n_medium   	  1.00000	 [---]         (refractive index of medium)
# n_real     	  1.57000	 [---]         (refractive index of sphere)
# n_imag     	  0.00000	 [---]         (absorption of sphere)
# lambda_vac 	  2.06000	 [microns]     (wavelength in vacuum)
# density    	  1.00000	 [#/micron^3]  (spheres per cubic micron)
#
# lambda     	  2.06000	 [microns]     (wavelength in medium)
# X          	  0.38126	 [---]         (size parameter)
# g          	 0.029492	 [---]         (average cosine of phase function)
# Qsca       	0.0061608	 [---]         (scattering efficiency)
# Qext       	0.0061608	 [---]         (extinction efficiency)
# Qback      	0.0086073	 [---]         (backscattering efficiency)
# Csca       	0.00030242	 [micron^2]    (scattering cross section)
# Cext       	0.00030242	 [micron^2]    (extinction cross section)
# Cback      	0.00042251	 [micron^2]    (backscattering cross section)
# mu_s       	  0.30242	 [1/mm]        (scattering coefficient)
# mu_s'      	   0.2935	 [1/mm]        (reduced scattering coefficient)
# mu_t       	  0.30242	 [1/mm]        (total attenuation coefficient)
#
#   The second column is normalized so that the integral of it over 
#   4*pi steradians will be unity.  The average of the 3rd & 4th
#   columns is the second.  The next three columns are normalized
#   to the value at 0 degrees. 
#
#       natural      = (|S1|^2+|S2|^2)/(pi X^2 Qsca)
#       perpen       = |S1|^2/(pi X^2 Qsca)
#       parallel     = |S2|^2/(pi X^2 Qsca)
#       polarization = (|S1|^2-|S2|^2)/(|S1|^2+|S2|^2)
#       S33          =  Real(S2 * S1^*)
#       S34          = -Imag(S2 * S1^*)
#
##theta	 natural 	 perpen 	 parallel	 natural 	 perpen 	 parallel	 polarization 	   S33   	   S34
-176.400	 0.11097	 0.11119	 0.11075	 0.86822	 0.86997	 0.86648	 0.00201	-1.00000	-0.00000
-172.800	 0.11035	 0.11124	 0.10946	 0.86338	 0.87033	 0.85643	 0.00805	-0.99997	-0.00000
-169.200	 0.10933	 0.11132	 0.10735	 0.85540	 0.87093	 0.83986	 0.01817	-0.99983	-0.00000
-165.600	 0.10792	 0.11142	 0.10442	 0.84439	 0.87178	 0.81700	 0.03244	-0.99947	-0.00001
-162.000	 0.10615	 0.11156	 0.10074	 0.83052	 0.87286	 0.78819	 0.05097	-0.99870	-0.00001
-158.400	 0.10404	 0.11173	 0.09636	 0.81402	 0.87417	 0.75388	 0.07388	-0.99727	-0.00001
-154.800	 0.10163	 0.11193	 0.09133	 0.79514	 0.87571	 0.71458	 0.10132	-0.99485	-0.00002
-151.200	 0.09895	 0.11215	 0.08575	 0.77417	 0.87747	 0.67087	 0.13343	-0.99106	-0.00003
-147.600	 0.09604	 0.11241	 0.07968	 0.75144	 0.87945	 0.62343	 0.17035	-0.98538	-0.00003
-144.000	 0.09296	 0.11269	 0.07323	 0.72731	 0.88164	 0.57298	 0.21219	-0.97723	-0.00004
-140.400	 0.08975	 0.11299	 0.06650	 0.70216	 0.88404	 0.52029	 0.25902	-0.96587	-0.00005
-136.800	 0.08645	 0.11332	 0.05958	 0.67640	 0.88662	 0.46617	 0.31081	-0.95047	-0.00006
-133.200	 0.08313	 0.11368	 0.05259	 0.65043	 0.88940	 0.41146	 0.36740	-0.93006	-0.00007
-129.600	 0.07984	 0.11405	 0.04563	 0.62469	 0.89235	 0.35703	 0.42846	-0.90356	-0.00008
-126.000	 0.07664	 0.11445	 0.03882	 0.59960	 0.89547	 0.30374	 0.49343	-0.86978	-0.00010
-122.400	 0.07357	 0.11487	 0.03226	 0.57559	 0.89874	 0.25243	 0.56144	-0.82752	-0.00011
-118.800	 0.07069	 0.11531	 0.02607	 0.55305	 0.90216	 0.20394	 0.63124	-0.77558	-0.00012
-115.200	 0.06805	 0.11576	 0.02033	 0.53238	 0.90571	 0.15906	 0.70123	-0.71294	-0.00014
-111.600	 0.06569	 0.11623	 0.01515	 0.51396	 0.90937	 0.11854	 0.76935	-0.63883	-0.00015
-108.000	 0.06367	 0.11671	 0.01062	 0.49811	 0.91314	 0.08308	 0.83322	-0.55294	-0.00016
-104.400	 0.06201	 0.11721	 0.00681	 0.48514	 0.91701	 0.05328	 0.89019	-0.45560	-0.00017
-100.800	 0.06075	 0.11771	 0.00379	 0.47531	 0.92095	 0.02968	 0.93756	-0.34782	-0.00018
-97.200	 0.05992	 0.11822	 0.00163	 0.46884	 0.92495	 0.01273	 0.97285	-0.23145	-0.00019
-93.600	 0.05955	 0.11874	 0.00036	 0.46589	 0.92899	 0.00278	 0.99404	-0.10906	-0.00019
-90.000	 0.05963	 0.11926	 0.00001	 0.46657	 0.93307	 0.00006	 0.99987	 0.01624	-0.00019
-86.400	 0.06019	 0.11978	 0.00060	 0.47093	 0.93716	 0.00471	 0.99001	 0.14103	-0.00019
-82.800	 0.06122	 0.12030	 0.00214	 0.47899	 0.94125	 0.01673	 0.96508	 0.26195	-0.00018
-79.200	 0.06271	 0.12083	 0.00460	 0.49067	 0.94532	 0.03601	 0.92660	 0.37605	-0.00017
-75.600	 0.06466	 0.12134	 0.00797	 0.50585	 0.94936	 0.06235	 0.87675	 0.48095	-0.00016
-72.000	 0.06702	 0.12185	 0.01219	 0.52437	 0.95335	 0.09539	 0.81809	 0.57509	-0.00015
-68.400	 0.06978	 0.12235	 0.01721	 0.54597	 0.95727	 0.13468	 0.75332	 0.65765	-0.00014
-64.800	 0.07290	 0.12284	 0.02296	 0.57039	 0.96110	 0.17967	 0.68500	 0.72854	-0.00013
-61.200	 0.07634	 0.12332	 0.02936	 0.59727	 0.96484	 0.22970	 0.61541	 0.78820	-0.00011
-57.600	 0.08004	 0.12378	 0.03630	 0.62624	 0.96846	 0.28403	 0.54646	 0.83749	-0.00010
-54.000	 0.08396	 0.12423	 0.04369	 0.65689	 0.97195	 0.34183	 0.47963	 0.87747	-0.00009
-50.400	 0.08803	 0.12466	 0.05141	 0.68875	 0.97529	 0.40221	 0.41603	 0.90935	-0.00008
-46.800	 0.09220	 0.12506	 0.05934	 0.72136	 0.97848	 0.46424	 0.35644	 0.93432	-0.00007
-43.200	 0.09640	 0.12545	 0.06735	 0.75421	 0.98148	 0.52693	 0.30134	 0.95352	-0.00006
-39.600	 0.10056	 0.12581	 0.07532	 0.78681	 0.98430	 0.58931	 0.25101	 0.96798	-0.00005
-36.000	 0.10463	 0.12614	 0.08313	 0.81864	 0.98692	 0.65036	 0.20556	 0.97864	-0.00004
-32.400	 0.10854	 0.12645	 0.09063	 0.84922	 0.98933	 0.70912	 0.16498	 0.98630	-0.00003
-28.800	 0.11223	 0.12673	 0.09773	 0.87807	 0.99151	 0.76462	 0.12920	 0.99162	-0.00002
-25.200	 0.11563	 0.12698	 0.10429	 0.90471	 0.99347	 0.81596	 0.09810	 0.99518	-0.00002
-21.600	 0.11871	 0.12720	 0.11022	 0.92874	 0.99518	 0.86231	 0.07153	 0.99744	-0.00001
-18.000	 0.12139	 0.12738	 0.11540	 0.94977	 0.99664	 0.90291	 0.04934	 0.99878	-0.00001
-14.400	 0.12365	 0.12754	 0.11977	 0.96746	 0.99784	 0.93708	 0.03140	 0.99951	-0.00001
-10.800	 0.12545	 0.12766	 0.12325	 0.98152	 0.99878	 0.96426	 0.01759	 0.99985	-0.00000
-7.200	 0.12676	 0.12774	 0.12577	 0.99173	 0.99946	 0.98401	 0.00779	 0.99997	-0.00000
-3.600	 0.12755	 0.12780	 0.12730	 0.99792	 0.99986	 0.99598	 0.00194	 1.00000	-0.00000
 0.000	 0.12781	 0.12781	 0.12781	 1.00000	 1.00000	 1.00000	 0.00000	 1.00000	-0.00000
 3.600	 0.12755	 0.12780	 0.12730	 0.99792	 0.99986	 0.99598	 0.00194	 1.00000	-0.00000
 7.200	 0.12676	 0.12774	 0.12577	 0.99173	 0.99946	 0.98401	 0.00779	 0.99997	-0.00000
10.800	 0.12545	 0.12766	 0.12325	 0.98152	 0.99878	 0.96426	 0.01759	 0.99985	-0.00000
14.400	 0.12365	 0.12754	 0.11977	 0.96746	 0.99784	 0.93708	 0.03140	 0.99951	-0.00001
18.000	 0.12139	 0.12738	 0.11540	 0.94977	 0.99664	 0.90291	 0.04934	 0.99878	-0.00001
21.600	 0.11871	 0.12720	 0.11022	 0.92874	 0.99518	 0.86231	 0.07153	 0.99744	-0.00001
25.200	 0.11563	 0.12698	 0.10429	 0.90471	 0.99347	 0.81596	 0.09810	 0.99518	-0.00002
28.800	 0.11223	 0.12673	 0.09773	 0.87807	 0.99151	 0.76462	 0.12920	 0.99162	-0.00002
32.400	 0.10854	 0.12645	 0.09063	 0.84922	 0.98933	 0.70912	 0.16498	 0.98630	-0.00003
36.000	 0.10463	 0.12614	 0.08313	 0.81864	 0.98692	 0.65036	 0.20556	 0.97864	-0.00004
39.600	 0.10056	 0.12581	 0.07532	 0.78681	 0.98430	 0.58931	 0.25101	 0.96798	-0.00005
43.200	 0.09640	 0.12545	 0.06735	 0.75421	 0.98148	 0.52693	 0.30134	 0.95352	-0.00006
46.800	 0.09220	 0.12506	 0.05934	 0.72136	 0.97848	 0.46424	 0.35644	 0.93432	-0.00007
50.400	 0.08803	 0.12466	 0.05141	 0.68875	 0.97529	 0.40221	 0.41603	 0.90935	-0.00008
54.000	 0.08396	 0.12423	 0.04369	 0.65689	 0.97195	 0.34183	 0.47963	 0.87747	-0.00009
57.600	 0.08004	 0.12378	 0.03630	 0.62624	 0.96846	 0.28403	 0.54646	 0.83749	-0.00010
61.200	 0.07634	 0.12332	 0.02936	 0.59727	 0.96484	 0.22970	 0.61541	 0.78820	-0.00011
64.800	 0.07290	 0.12284	 0.02296	 0.57039	 0.96110	 0.17967	 0.68500	 0.72854	-0.00013
68.400	 0.06978	 0.12235	 0.01721	 0.54597	 0.95727	 0.13468	 0.75332	 0.65765	-0.00014
72.000	 0.06702	 0.12185	 0.01219	 0.52437	 0.95335	 0.09539	 0.81809	 0.57509	-0.00015
75.600	 0.06466	 0.12134	 0.00797	 0.50585	 0.94936	 0.06235	 0.87675	 0.48095	-0.00016
79.200	 0.06271	 0.12083	 0.00460	 0.49067	 0.94532	 0.03601	 0.92660	 0.37605	-0.00017
82.800	 0.06122	 0.12030	 0.00214	 0.47899	 0.94125	 0.01673	 0.96508	 0.26195	-0.00018
86.400	 0.06019	 0.11978	 0.00060	 0.47093	 0.93716	 0.00471	 0.99001	 0.14103	-0.00019
90.000	 0.05963	 0.11926	 0.00001	 0.46657	 0.93307	 0.00006	 0.99987	 0.01624	-0.00019
93.600	 0.05955	 0.11874	 0.00036	 0.46589	 0.92899	 0.00278	 0.99404	-0.10906	-0.00019
97.200	 0.05992	 0.11822	 0.00163	 0.46884	 0.92495	 0.01273	 0.97285	-0.23145	-0.00019
100.800	 0.06075	 0.11771	 0.00379	 0.47531	 0.92095	 0.02968	 0.93756	-0.34782	-0.00018
104.400	 0.06201	 0.11721	 0.00681	 0.48514	 0.91701	 0.05328	 0.89019	-0.45560	-0.00017
108.000	 0.06367	 0.11671	 0.01062	 0.49811	 0.91314	 0.08308	 0.83322	-0.55294	-0.00016
111.600	 0.06569	 0.11623	 0.01515	 0.51396	 0.90937	 0.11854	 0.76935	-0.63883	-0.00015
115.200	 0.06805	 0.11576	 0.02033	 0.53238	 0.90571	 0.15906	 0.70123	-0.71294	-0.00014
118.800	 0.07069	 0.11531	 0.02607	 0.55305	 0.90216	 0.20394	 0.63124	-0.77558	-0.00012
122.400	 0.07357	 0.11487	 0.03226	 0.57559	 0.89874	 0.25243	 0.56144	-0.82752	-0.00011
126.000	 0.07664	 0.11445	 0.03882	 0.59960	 0.89547	 0.30374	 0.49343	-0.86978	-0.00010
129.600	 0.07984	 0.11405	 0.04563	 0.62469	 0.89235	 0.35703	 0.42846	-0.90356	-0.00008
133.200	 0.08313	 0.11368	 0.05259	 0.65043	 0.88940	 0.41146	 0.36740	-0.93006	-0.00007
136.800	 0.08645	 0.11332	 0.05958	 0.67640	 0.88662	 0.46617	 0.31081	-0.95047	-0.00006
140.400	 0.08975	 0.11299	 0.06650	 0.70216	 0.88404	 0.52029	 0.25902	-0.96587	-0.00005
