# Mie Scattering                # Version 2-3-5 (04:24:01 12/17/16)
# Oregon Medical Laser Center   # http://omlc.org
# by Scott Prahl                # scott.prahl@oit.edu
#
# radius     	  0.12500	 [microns]     (sphere radius)
# n_medium   	  1.00000	 [---]         (refractive index of medium)
# n_real     	  1.58000	 [---]         (refractive index of sphere)
# n_imag     	  0.00000	 [---]         (absorption of sphere)
# lambda_vac 	  1.61000	 [microns]     (wavelength in vacuum)
# density    	  1.00000	 [#/micron^3]  (spheres per cubic micron)
#
# lambda     	  1.61000	 [microns]     (wavelength in medium)
# X          	  0.48782	 [---]         (size parameter)
# g          	  0.04827	 [---]         (average cosine of phase function)
# Qsca       	 0.017139	 [---]         (scattering efficiency)
# Qext       	 0.017139	 [---]         (extinction efficiency)
# Qback      	 0.022855	 [---]         (backscattering efficiency)
# Csca       	0.00084129	 [micron^2]    (scattering cross section)
# Cext       	0.00084129	 [micron^2]    (extinction cross section)
# Cback      	0.0011219	 [micron^2]    (backscattering cross section)
# mu_s       	  0.84129	 [1/mm]        (scattering coefficient)
# mu_s'      	  0.80068	 [1/mm]        (reduced scattering coefficient)
# mu_t       	  0.84129	 [1/mm]        (total attenuation coefficient)
#
#   The second column is normalized so that the integral of it over 
#   4*pi steradians will be unity.  The average of the 3rd & 4th
#   columns is the second.  The next three columns are normalized
#   to the value at 0 degrees. 
#
#       natural      = (|S1|^2+|S2|^2)/(pi X^2 Qsca)
#       perpen       = |S1|^2/(pi X^2 Qsca)
#       parallel     = |S2|^2/(pi X^2 Qsca)
#       polarization = (|S1|^2-|S2|^2)/(|S1|^2+|S2|^2)
#       S33          =  Real(S2 * S1^*)
#       S34          = -Imag(S2 * S1^*)
#
##theta	 natural 	 perpen 	 parallel	 natural 	 perpen 	 parallel	 polarization 	   S33   	   S34
-176.400	 0.10593	 0.10615	 0.10571	 0.79467	 0.79628	 0.79305	 0.00203	-1.00000	-0.00000
-172.800	 0.10536	 0.10622	 0.10450	 0.79040	 0.79683	 0.78396	 0.00814	-0.99997	-0.00001
-169.200	 0.10442	 0.10634	 0.10250	 0.78335	 0.79774	 0.76895	 0.01838	-0.99983	-0.00001
-165.600	 0.10313	 0.10651	 0.09974	 0.77363	 0.79902	 0.74824	 0.03282	-0.99946	-0.00002
-162.000	 0.10149	 0.10673	 0.09626	 0.76139	 0.80065	 0.72213	 0.05156	-0.99867	-0.00004
-158.400	 0.09955	 0.10699	 0.09211	 0.74681	 0.80263	 0.69099	 0.07474	-0.99720	-0.00005
-154.800	 0.09733	 0.10730	 0.08735	 0.73013	 0.80496	 0.65529	 0.10250	-0.99473	-0.00007
-151.200	 0.09486	 0.10766	 0.08205	 0.71159	 0.80763	 0.61554	 0.13497	-0.99085	-0.00010
-147.600	 0.09218	 0.10806	 0.07629	 0.69149	 0.81064	 0.57234	 0.17231	-0.98504	-0.00012
-144.000	 0.08933	 0.10850	 0.07016	 0.67015	 0.81396	 0.52633	 0.21461	-0.97670	-0.00015
-140.400	 0.08637	 0.10899	 0.06374	 0.64790	 0.81761	 0.47820	 0.26193	-0.96509	-0.00018
-136.800	 0.08333	 0.10951	 0.05714	 0.62512	 0.82155	 0.42868	 0.31423	-0.94935	-0.00022
-133.200	 0.08027	 0.11008	 0.05046	 0.60217	 0.82578	 0.37855	 0.37135	-0.92849	-0.00026
-129.600	 0.07724	 0.11068	 0.04380	 0.57943	 0.83029	 0.32858	 0.43294	-0.90142	-0.00030
-126.000	 0.07429	 0.11131	 0.03727	 0.55731	 0.83507	 0.27956	 0.49838	-0.86696	-0.00035
-122.400	 0.07147	 0.11198	 0.03096	 0.53619	 0.84009	 0.23229	 0.56678	-0.82387	-0.00039
-118.800	 0.06884	 0.11268	 0.02500	 0.51644	 0.84534	 0.18754	 0.63686	-0.77098	-0.00044
-115.200	 0.06644	 0.11341	 0.01947	 0.49843	 0.85080	 0.14607	 0.70694	-0.70727	-0.00048
-111.600	 0.06432	 0.11417	 0.01448	 0.48252	 0.85646	 0.10859	 0.77495	-0.63202	-0.00053
